Sl No,Udise Code,School Name,District Name,Block Name,Type,Management,Category,Class From,Class To,Status,TOT STUDENT(1 TO 12),TOT TEACHER,PS TOT,UPS TOT,SEC TOT,HI SEC TOT,Pre-Primary Availability,No. of Pre-Primary Classes,School Location,Arts Stream,Commerce Stream,Science Stream,Vocational Stream,Other Streams
378,21150212702,"Sastriji TO UPS, Krutibaspur",ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,60,3,0,60,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
383,21150217701,TAINSAR PUPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,85,4,44,41,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
389,21150232603,THAKURGARH UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,257,6,0,257,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
391,21151000201,Town Boys PS,ANGUL-2115,ATHAMALLIK-211502,1-Boys,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,38,2,38,0,0,0,2 - No,NA,2-Urban,NA,NA,NA,NA,NA
416,21150200201,Anantapali Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,184,6,96,88,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
417,21150227101,Badabar Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,74,3,49,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
418,21150200501,Bahali Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,127,4,57,70,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
419,21150201701,Bandhagaon Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,81,4,48,33,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
420,21150218101,BANDHUPALI PUPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,96,4,58,38,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
421,21150207901,Baradakata Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,79,5,53,26,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
423,21150224701,Berham UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,165,7,82,83,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
424,21150219701,Bipradiha Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,19,3,13,6,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
425,21150213401,Chandrapur Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,113,5,55,58,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
426,21150221401,"Dakshyeswar UG UPS, Lipiloi",ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,224,8,123,101,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
427,21150207001,Dudum Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,117,4,62,55,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
428,21150227201,Ghodabandhuni UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,121,5,75,46,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
429,21150204001,GHODAGADI PROJECT UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,56,3,20,36,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
430,21150209501,Gopinathpur Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,114,5,65,49,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
433,21150229801,GOVT. PUPS TENTULOI,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,42,3,34,8,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
434,21150232801,GOVT. U.P.S. BAJAPUR,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,77,5,44,33,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
435,21150222501,"Govt. U.P. School, LEHEDI",ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,53,3,21,32,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
436,21150211501,GOVT UP SCHOOL NAIKPADA,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,137,4,56,81,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
437,21150218701,Govt. UPS Kundanali,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,97,4,50,47,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
438,21150234501,GOVT. U.P.S. ORADA,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,55,4,34,21,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
439,21150229601,GOVT.U.P.S SAPAGHARA,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,68,4,44,24,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
440,21150231001,Gunduri Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,132,5,49,83,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
441,21150221801,Jadupur Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,130,4,70,60,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
442,21150205301,Jamudoli UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,131,5,66,65,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
443,21150212501,KARADABAHALI PUPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,78,3,49,29,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
444,21150228901,Khamar Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,35,3,29,6,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
445,21150222401,Kuteswar Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,134,5,56,78,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
446,21150229101,LAXMIPUR PROJECT UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,62,3,43,19,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
447,21150217301,Manapur Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,68,4,29,39,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
448,21150215301,Mandarbahal UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,80,6,39,41,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
449,21150227801,Mindol UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,125,5,85,40,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
450,21150214302,Nilakanthapada UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,117,5,66,51,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
451,21150219201,Nuagaon Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,80,4,42,38,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
452,21150226601,Odasinga Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,190,5,78,112,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
453,21150200901,OLATH PUPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,101,5,62,39,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
454,21150216501,Pataka UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,145,6,70,75,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
455,21150226702,Purunamanatri Nodal UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,134,5,63,71,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
456,21150226801,Rajing Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,95,4,45,50,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
457,21150219301,Saradhapur UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,99,4,36,63,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
458,21150228001,Similia Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,53,4,30,23,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
459,21150224001,Talabahali Project U.P.School,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,149,6,84,65,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
460,21150228301,Taleipathar Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,101,6,70,31,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
461,21150230502,Tapadhol UG UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,221,5,154,67,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
462,21150214501,Tentheipali Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,66,3,44,22,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
463,21150213001,Tileswar Project UPS,ANGUL-2115,ATHAMALLIK-211502,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,66,3,35,31,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
504,21150312601,Amantapur UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,182,5,93,89,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
509,21150300103,Badakerejang UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,140,4,0,140,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
511,21150300902,Balaramprasad HS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,439,20,123,166,150,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
516,21150301502,Bauligarh UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,62,4,20,42,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
517,21150306102,Benagadia UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,204,6,137,67,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
521,21150303102,Bonda UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,184,7,98,86,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
522,21150312902,BRAJAMOHAN NODAL UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,164,3,90,74,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
524,21150303703,Budhapank UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,210,6,137,73,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
526,21150314701,DERJANG P UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,192,6,124,68,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
528,21150312801,Dudhiabeda UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,99,6,52,47,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
529,21150315303,Fakir Charan UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,25,2,0,25,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
531,21150304102,Fulapada UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,186,5,0,186,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
533,21150305201,GarhSantri Govt. UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,151,6,76,75,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
537,21150303901,"GOVERNMENT U.P SCHOOL,PANDARBHARANIA",ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,97,4,46,51,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
538,21150316202,GOVERNMENT U.P SCHOOL TULASIPAL,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,7,Oper,129,6,81,48,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
539,21150305803,Govt. Nodal HS Gotamara,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,477,17,185,160,132,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
543,21150312101,"GOVT. UPPER PRIMARY SCHOOL, GANDIBEDHA - GOLABANDHA",ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,202,7,125,77,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
544,21150306001,"GOVT. UPS, BEDASAR",ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,93,6,61,32,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
545,21150308601,"GOVT.U.P.SCHOOL, RANIGODA",ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,214,6,127,87,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
546,21150307601,"HARIHAR GOVT. HIGH SCHOOL,KUKUDANG.",ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,265,12,0,156,109,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
553,21150304301,Kalandapal UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,64,3,27,37,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
554,21150306402,Kandasar UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,97,4,60,37,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
555,21150307002,Kanjara Nodal UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,349,11,183,166,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
557,21150315701,Kankinali  PUPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,71,2,44,27,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
558,21150302301,Kenduapali PUPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,125,4,58,67,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
562,21150311001,Kuio Jamunali UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,160,3,0,160,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
565,21150308303,Kulad Govt. UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,138,5,36,102,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
567,21150306202,Kumanda Jarasingha Nodal HS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,476,17,34,211,231,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
568,21150308503,Kumanda UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,76,4,51,25,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
570,21150309103,Kurudol UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,227,6,96,131,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
579,21150303103,"Panchagarh Bijay Kumar HS, Banarpal",ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,7 - Upper Pr. and Secondary,6,10,Oper,609,13,0,263,346,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
580,21150309702,PANCHAYAT NODAL HIGH SCHOOL MAHIDHARPUR,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,501,18,108,208,185,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
581,21150307401,Paratara Project UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,7,Oper,147,4,109,38,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
582,21150305204,Pidhasahi Nodal UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,157,6,45,112,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
583,21150301301,Pingua Nodal UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,38,2,21,17,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
585,21150304903,Rameswar UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,4 - Upper Primary only,6,8,Oper,32,3,0,32,0,0,NA,NA,1-Rural,NA,NA,NA,NA,NA
590,21150311301,Sakasingha UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,244,8,145,99,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
591,21150309801,SERENABEDA PROJECT UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,2 - Pri. with Up. Primary,1,8,Oper,182,7,103,79,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
594,21150313901,Talamul Govt. HS,ANGUL-2115,BANARPAL-211503,3-Co-ed,111 - 111-SCHOOLS UNDER S&ME DEPT,6 - Pr. Up Pr. and Sec. Only,1,10,Oper,534,18,92,199,243,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
623,21150305501,ACHALPUR PUPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,91,4,53,38,0,0,1 - Yes,1,1-Rural,NA,NA,NA,NA,NA
624,21150308501,Alekhapatana PUPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,223,9,105,118,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
625,21150300907,AMANATAPUR PROJECT UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,198,7,116,82,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
626,21150306601,Badahinsar Project UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,205,5,122,83,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
627,21150303701,BADAPATANA PUPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,140,4,86,54,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
628,21150307501,EKAGHARIA P UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,62,4,39,23,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
629,21150308201,GIRANG GOVT UPS,ANGUL-2115,BANARPAL-211503,3-Co-ed,14 - 14-NEW UPPER PRIMARY SCHOOL (SSA/DPEP),2 - Pri. with Up. Primary,1,8,Oper,180,6,96,84,0,0,2 - No,NA,1-Rural,NA,NA,NA,NA,NA
